Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",126.400000,-76.200000,0.000000,top
"C2","22uF","C_0603_1608Metric",114.700000,-79.150000,-90.000000,top
"C4","100nF","C_0603_1608Metric",117.600000,-54.700000,0.000000,top
"C7","10uf","C_0603_1608Metric",113.900000,-81.500000,0.000000,top
"C8","1 uf","C_0603_1608Metric",112.700000,-76.725000,90.000000,top
"J1","Conn_01x06_Socket","PinHeader_1x06_P2.54mm_Vertical",125.800000,-71.740000,180.000000,top
"R1","4.7kΩ","R_0603_1608Metric",108.925000,-76.650000,-90.000000,top
"R2","4.7kΩ","R_0603_1608Metric",106.400000,-76.800000,-90.000000,top
"U1","SAM-M10Q-00B","SAM-M10Q_UBL",114.800000,-65.600000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",120.000000,-78.800000,180.000000,top
"U4","MMC5983MA","MMC5983MA_MEM",110.050000,-80.275000,0.000000,top
