Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",126.400000,-76.200000,0.000000,top
"C2","22uF","C_0603_1608Metric",114.200000,-76.800000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",113.950000,-80.725000,-90.000000,top
"C4","100nF","C_0603_1608Metric",117.600000,-54.700000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",110.200000,-77.200000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",107.000000,-80.400000,0.000000,top
"J1","Conn_01x06_Socket","PinHeader_1x06_P2.54mm_Vertical",125.800000,-71.740000,180.000000,top
"R1","4.7kΩ","R_0603_1608Metric",109.500000,-74.700000,180.000000,top
"R2","4.7kΩ","R_0603_1608Metric",106.400000,-76.800000,-90.000000,top
"U1","SAM-M10Q-00B","SAM-M10Q_UBL",114.800000,-65.600000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",120.000000,-78.800000,180.000000,top
"U3","IST8310","LGA-16_3x3mm_P0.5mm",111.000000,-80.400000,0.000000,top
