Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C22548,RC0603FR-071KL,YAGEO,0603,,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C22548.html
2,C95204,RT0603BRD0710KL,YAGEO,0603,,100mW 10kΩ 75V Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0232,0.46,https://www.lcsc.com/product-detail/C95204.html
3,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,,10uF ±10% 10V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0139,0.28,https://www.lcsc.com/product-detail/C19702.html
4,C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,0603,,22uF ±20% 10V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0211,0.21,https://www.lcsc.com/product-detail/C86295.html
5,C19666,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0140,0.14,https://www.lcsc.com/product-detail/C19666.html
6,C1590,CL10B104KA8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 25V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0049,0.49,https://www.lcsc.com/product-detail/C1590.html
7,C3715625,69146-206LF,Amphenol,P=2.54mm,,"Open-Top 2.54mm P=2.54mm Shunts, Jumpers RoHS",yes,1,1,1,1.0735,1.07,https://www.lcsc.com/product-detail/C3715625.html
8,C99782,RC0603FR-074K7L,YAGEO,0603,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C99782.html
9,C6186,AMS1117-3.3,Advanced Monolithic Systems,SOT-223,,"3.3V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.2036,1.02,https://www.lcsc.com/product-detail/C6186.html
10,C2683055,IST8310,iSentek,LGA-16(3x3),,"LGA-16(3x3) Linear, Compass (ICs) ",-,1,1,1,5.6313,5.63,https://www.lcsc.com/product-detail/C2683055.html
